;Why or why not?
1247;Especially if it would affect physical access to the location or equipment, it seems like it would be absolutely necessary.
1248;Depends on whether I thought it would have a negative impact on me getting the job
1249;
1250;i don't know
1251;Depends in the interview, would it be relevant at that point, am I seriously interested in the job or not
1252;It depends on the issue—if it affected my job, I would hope to feel comfortable bringing it up.
1253;If the health issue was severe enough to affect my work, waiting to reveal it until after job start could easily result in resentment. All cards on the table.
1255;Your not get the job
1256;I feel I need to be able to physically do the job demands to be considered.
1257;Being open usually is the best
1258;
1259;
1260;
1261;If it could affect my work I would
1262;Don't want to be viewed differently or like I need special treatment.
1263;
1264;If I really wanted the job I wouldn't necessarily bring it up until I knew that I was actually getting the job. I realize that legally I can't be discriminated against, but the odds would be against me.
1265;If I thought it might impact my performance of the job I'd mention it. And if my physical issue is obvious, but I knew it would NOY affect my ability to do the job, I would mention that.
1266;Because they should know up front and it is illegal for them to not hire someone because of a physical impairment or issue
1267;denial of job oportunity
1268;I don't feel that its relevant to my getting hired
1269;It wouldn't have a bearing on my employability.
1270;I'm not sure it's relevant. I don't want to overshare my personal life at a job interview.
1271;
1272;I don't see it as being relevent
1273;To ensure I received proper accommodations if they were needed
1274;I don't feel it could help my chances in any way and could hurt my chances
1275;I would feel it important that a potential employer know of any limitations I may have in being able to do the job
1276;It's unlikely to be any of the prospective employer's business.
1277;I would be afraid of being excluded from consideration due to my occasional back problems. I would only bring it up if it directly impacted the job
1278;Haven't been in that situation, so I really don't know
1279;
1280;If it required hospital treatment or medication. Only feels right they should be aware. 
1281;I would only bring up the issue if necessary, if it obviously affected my work or I required special assistance.
1282;
1283;Fear of failing interview
1284;If it's obvious, I would have to prove I can do the job.
1285;Because it may have some significant impact on my performance if I am not accomodated accordingly.
1286;
1287;
1288;It depends if it was relevant to my work
1289;If it will directly impact my ability to perform my duties on some days, then it's only fair to be honest about it.
1290;I would be concerned that it would affect my chance of getting the job.
1291;I would avoid it as much as possible to put myself in the best possible light.
1292;Fear that I would not make it through the interview process. Would tell after being hired.
1293;It depends on the impact I expected doing so would have.
1294;To be upfront in case the ADA Act were to apply to my employment there.
1295;
1296;Not needed
1297;in order to keep a normal image of myself
1298;Fear that it would affect my chances of getting hired.
1299;my work does not involve physical labor so it doesn't matter and it's private
1300;If I really need the job, I wouldn't take the risk. If I'm just looking for a better job, I would tell, because it's not a better job if they reject me for it.
1302;
1303;"Who's going to hire a ""head case""?"
1304;It is expected and covered standard HR best practice. Plus legal and social obligations are clear to all.  
1305;Set expectations appropriately.
1306;I would be worried that the employer would consider the problem a liability
1307;
1308;
1309;Shouldn't be an issue as long as it does not impact the tasks that I'm interviewing for.
1310;If it would affect my ability to do the work I believe it would be relevant
1311;I've previously been punished for taking care of my physical health after a bike accident. I do not want to be in that situation again, so I would bring up any issues I had while interviewing.
1312;You cannot enforce respect for any group of individuals. Every place I have worked care about performance and social integration. 
1313;If it were to impact my day-to-day job I would bring it up in the discussion. Otherwise I would wait to see how the environment of the company was about accepting less than perfect.
1314;If I felt the issue would not interfere with my performance I would not bring it up. 
1315;
1316;
1317;Physical health issues are unlikely to impact tech work and should be easy to accommodate
1318;If it would impact my work in any way
1319;If the physical health issue affected my ability to do the job yes I would. If not then I wouldn't. 
1320;Fear of unintentional discrimination/negative bias
1321;
1322;I'd probably mention it after I was hired, once I knew I was safe.
1323;I'm hard of hearing which is important to mutually understand in the interview process. Also is a good test of being accommodating or not. 
1324;
1325;Wouldn't seem relevant that early. I would ask questions to get a feel for how accepting the company is. 
1326;"AT least at the places I have worked - IT in banking..it was a very macho hardass culture across the board. In nonprofit spots - the budgets were so tight everyone complained all the time and had it hard...not as hard as me with untreated ADHD, depression and anxiety...but hard. It should have come up in all previous workplaces but I never feel safe bringing it up. I freelance now so I can deal with structuring my own work hours etc...but, I am really really struggling both due to isolation and just...freelancing is a real grind. If I didn't have Obamacare I would be completely screwed. AS it is I am only semi screwed. ALSO  - what I wish you would ask in this survey is about caretaking. 
I am female in IT..and disabled. I take care of my elderly mother and my developmentally disabled brother. 
What NEVER gets discussed is who does the caretaking in families when someone breaks down or is unable to work...it's women, sisters, daughters, mothers... So PLEASE work caretaking survey questions into your surveys.

I can't just say it's about me...I'm under water because no one is helping with my brother or mother..least of all my father who died penniless after years on wall street making millions. He was ADHD too...and alcoholic and depressed...but, he was a ""master of the universe"" type doing IPOs for tech companies...and a ""liberatarian""... 

So yeah - please get more intersectional in how you survey this landscape. I'm screwed NOT just because of my disabilities...but my gender as well.

Sooo - this survey should have a ""Did we miss anything"" open question at the end. Two things. One - My ADHD is an asset when treated and understood...Also - When I finally got coverage at work 20 years ago...I was put on a med which I had a very bad reaction to - at work. Getting treated (after decades) ended up cratering my worklife for ten years or so. Wrong meds *really* messed me up - along with wrong DX. I couldn't be open about it. And then had a serious breakdown at work...and was fired immediately. No mercy. No understanding - I told them what was going on and I was gone. Because I wasn't well.. I couldn't defend myself. I became homeless for a while. I'm OK now...but it was a *mess* caused BY getting poor medical treatment for pretty run of the mill depression...I was in Silicon Valley at the time and over 30 and female. There was NO space for me to be anything less that 120% perfect as I was one of very few women working in SV at the time."
1327;depends
1328;
1329;It has nothing to do with the future job responsibilities 
1330;It may cause them to think I won't be able to perform at my job 100%.
1331;It would depend on what the job duties were and how comfortable the person interviewing made me feel.
1332;Depends on relevancy to the job.
1333;To make sure that appropriate accommodations could be made. 
1334;
1335;Worried about how they will look at me after
1336;
1337;Depends on potential impact on job
1338;As it may inhibit my chances of getting the position.
1339;it's important that a potential employer has a full idea of you as a potential employee to make an informed decision
1340;I'd feel that it'd make me less apt for the job I'm applying in comparison to others.
1341;Although I know in some places employers are not supposed to discriminate against candidates due to ability status, some still do. If and only if it were something that would require significant accommodations or if it was a visible disability, like a wheelchair, would I bring it up.
1342;I fear of receiving negative responses
1343;I wouldn't want to attach a negative stigma to myself during an interview
1344;
1345;Deafness can be viewed as a physical health issue, and not many employers are willing to go out of their way to accommodate that.
1346;If it's going to impede my ability to work, sure
1347;It might affect my performance
1348;"As I don't suffer from anything particularly serious it's hard to imagine, but if I did I feel more as if I would be compelled to state this; as if it was likely to affect my ability to work I would want to be upfront about it. If it didn't affect my ability to work I might avoid mentioning it straight away to mitigate the chance of negative concequences"
1349;To be upfront about any time off
1350;
1351;Bias towards something that may not be relevant to the work
1352;An employer should know any limitations you have.
1353;they might think that i am not capable to work. I am also a migrant and this is adds up.
1354;If it would effect my performance
1355;Fear of negative impact on prospects of employment.
1356;
1357;
1358;Physical health has less of a stigma.
1359;It may affect how I work
1360;Would depend entirely on the attitude of the person on the other side of the table
1361;
1362;Risk of discrimination
1363;I would only bring up the physical health issue if it would have an effect on my performance at work. 
1364;I probably wouldn't get the job if I mentioned my physical issues.
1365;If my physical health affects productivity or accessibility, it will be important to discuss this with potential employer.
1366;I consider this private and protected information that should only be given if absolutely needed. I want to be able to control if and when the employer is able to use this information.
1367;The concept is tangible, unavoidable, and not something really hidden. 
1368;While it would be illegal to discriminate, but theres something in the back of my mind that if I say anything about it they will look for another excuse to not hire you.
1369;This is all a point of basic surviving. If I had problems to bring food to my table or pay for rent in case I don't get the job I would keep my mouth shut and work as hard as I can. If not, like the case is now, I would take the liberty of trying to get the most comfortable work position. It is easy to ask for your rights and better work environment when basic life needs are met and are safe regardless of your work. In case they are not, then you don't have the liberty of emotions, problems, sickness and what not, you have to survive and you do what you have to do it. 
1370;
1371;Unless it affected my ability to do my job, I would not bring it up. If it did, I would only bring it up as late as possible.
1372;I wouldn't want it to hinder my chances of getting a job if I didn't think a physical health issue was related to the job.
1373;i currently do not have any physical issues. 
1374;If it was relevant and not a stigmatized condition. 
1375;It would depend on the tone of the interviewer and the attitude of the individual that was interviewing me
1376;If it's an obvious disability, then there's no need to bring it up. If it's not obvious, then it isn't their concern.
1377;Because my working environment might require improvement or at least adaptation like a lighter place/bigger screen/special desk. I think this conversation will be receive normal. Or at least as normal as speaking about money and advantages.
1378;They would rather hire me someone who isn't sick
1379;I don't want it held against me
1380;There isn't stigma
1381;"I would. My previous employees have been very aware of the of the legal protections afforded to candidates and employees with physical impairments, temporary or permanent, and act accordingly. These issues are regarded as ""real"", and tend to have more predictable timelines with regard to recovery (if applicable)."
1382;
1383;If its is relevant.
1384;Depends on the physical issue and/or the position being applied for.
1385;
1386;If it could affect work, I might bring it up.
1387;It would depend on the health issue and whether it could require accommodations.
1388;It's easy to see and prove.
1389;I don't see the point in disclosure of things that should not be requested without violating employment law.
1390;Things like Asthma or access to buildings are socially 'acceptable' to mention in these situations.
1391;the world isn't an ideal place, sometimes it is more important to get in the door and ask for forgiveness later than permission up front
1392;If it affected my ability to work, then yes. 
1393;"A place where I need to look and sound my best doesn't seem like the time to mention that I have something ""disordered"" about me."
1394;Let's be realistic, it would harm my career.
1395;If it were an issue that could be helped by an accommodation, but didn't rise to the level of a protected disability, and having the accommodation or not would swing my decision to work at the company
1396;
1397;It depends on the issue and how it affects the job. If it was 100% unnecessary I'd keep it to myself.
1398;If they have an issue with it, it likely a sign of a place I wouldn't want to work. 
1399;
1400;In an interview, I would be afraid to reveal anything that could be seen as a detriment that was not otherwise necessary to disclose.
1401;
1402;May not get the job depending on the physical issue. 
1403;
1404;It's fairly obvious/straightforward, a physical health issue will, in most cases, be visible within the workplace.
1405;I believe that it wouldn't affect the outcome
1406;
1407;Even with physical health issues, I should be able  to do my work. 
1408;Weakens my negotiation position.
1409;Depending on how 'safe' I'm made to feel during the interview process I might feel it might reflect badly which, if I really *needed* the job I might not want to risk.
1410;"Risk of being discarded at a job interview.
Risk of being neglected of a promotion.
Risk of being fired."
1411;"They might call it a ""culture fit"" issue"
1412;to get accomodation
1413;I would probably not bring up a physical health issue because it's most likely not relevant to my ability to perform my job.
1414;
1415;
1416;
1417;Might reduce my chances of getting hired, even though I don't expect them to ever officially name it as a reason for my application being turned down.
1418;Bringing up such an issue can only decrease your chances of employment. However, I don't feel it would have a strong effect in my line of work.
1419;Not relevant to my job
1420;I don't know (sorry)
1421;I might not get the job then... 
1422;I guess if I had an issue hard enough that it would affect my work, I'd be worried about the perception I could not do the job.  
1423;It depends on the type of issue. If it was something common, then I would be more likely as I feel as though they would be more willing to accommodate me.
1424;If they asked me directly, I would tell them, but I wouldn't want to ruin my chances of getting the job.
1425;
1426;
1427;I would be afraid it would reflect poorly on me.
1428;I believe my health information is my personal business
1429; QF
1430;Fear that doing so would cause the employer to factor in additional health insurance expense.
1431;Stigma with some diseases
1432;
