;Why or why not?.1
1193;See my answer above. I don't want to risk a possible position or cast a pall over the rapport with a potential coworker. I didn't always feel this way, but at my last position I got strongly warned, in secret, never to say anything about my condition because people would think I was 'crazy' and 'might shoot up the place.' I have major clinical depression that I've managed and treated for years. The only person it's hurt is myself. But that was the perception of anyone with a mental illness, never mind that they're as wide a spectrum as physical illnesses. So I never said anything. 
1194;People have strong stigmas against mental health issues. Instead I talk about work/life balance and burnout in the tech industry, to get a feel for how understanding they are. 
1195;I would be worried it would be seen as a pity play, make me seem unlikeable/'crazy'/a liability rather than an asset.
1196;Employers don't typically make accommodations for mental health, so no point in bringing it up
1197;
1198;I'd fear they would think it would affect productivity. And if there are many more candidates I could easily be eliminated.
1199;I feel it might color the opinion of everything I said or did.
1200;
1201;
1202;if I felt they would understand I would, otherwise I wouldn't for fear of being discriminated against
1203;
1204;Bit knowing the environment if the new employer would make me nervous to do so
1205;Stigma
1206;They might think I am unstable or unreliable
1207;Because of the stigma involved. I don't want them to think that I would not be able to do my job regardless of my physical condition.
1208;Risk of not getting hired.
1209;In case it affected how well they though I could do the job/reliability
1210;I don't have one
1211;Same reasoning as above, but with more nuance: Software engineers are hired in part because of their intelligence and apparent mental fitness. To undermine their confidence in your ability to perform cognitively out of the gate would, in my experience, lead to the other candidates being selected even if they performed worse in the interview.
1212;
1213;Would feel it could affect outcome.
1214;never. you have no background info about the person who is interviewing you and their understanding of mental health.
1215;Only if working for the disability community.
1216;No good
1217;it depends on whether the issue might be perceived as having more impact on my performance than it actually does, and whether i am confident i can explain the impact and work around it.
1218;"This is the same as disclosing a physical illness, but much more severe; people associate instability with mental health with instability at work, and want only a perfect neurotypical programmer who will be low risk"
1219;Fear of not getting the job
1220;
1221;If that mental heath issue were not germane to the work, I would not bring it up.
1222;
1223;Same answer - I want to know how a potential employer would react before I consider working for them.  
1224;They don't need to know unless/until it affects my work.
1225;I would be very concerned about potential negative bias.
1226;Due to lack of understanding, without bias, how a treated mental health issue could effect work.
1227;It would depend on whether or not I could trust the employer to not stigmatise me as well as how desperately I needed or wanted the job. I can cover my illness fairly well and wouldn't want to harm my chances of getting the job, if necessary.
1228;That would be career suicide
1229;
1230;Not being sure about privacy and consequences
1231;If it was going to affect the ability to do my job, I would feel obligated to let them know.
1232;
1233;"You never know. And the last thing you want in an interview is an armchair psychologist telling you ""you just need to try harder"""
1234;Mental health stigmas mean that I feel uncomfortable discussing mental issues up front
1235;Stigma. Fear of not getting the job. 
1236;Seems like TMI, and I don't want any doubts about my effectiveness as an employee.
1237;
1238;I'd be worried it would bias them against hiring me.
1239;
1240;stigma
1241;Depends on the acuteness of the problem 
1242;Prejudice 
1243;
1244;Unsure of how they woud react.
1245;
1246;Same as above,
1247;It depends on which aspect of mental health we're talking about :) Some are more stigmatized than others.
1248;Only if the job was for an organization or business run by or for people with similar issues.
1249;
1250;it depends. my current job, i made an offhand reference to my therapist in the cover letter. but i also believed myself woefully underqualified at the time so I can't vouch for having taken the application completely seriously.
1251;Same answer as physical
1252;Same answer. But it would feel more raw and vulnerable. Having been self-employed now, I'd be a lot more selective about where I choose to interview, and opt myself out of places that wouldn't be empathetic and understanding.
1253;Bit more taboo about mental health issues. At my last interview I did mention that I only worked well with interesting tasks (let's call it a light case of ADHD), but I did not problematize it.
1255;Your not get the Job
1256;I feel I need to be able to physically and mentally do the job demands to be considered.
1257;Bad experience
1258;
1259;Because I wouldn't get the job.
1260;
1261;If it required me to I would, otherwise id try to keep it to myself. Dont want to be a burden or be labeled as somewhat disabled
1262;Don't want to give someone even just one reason not to hire me. Getting a job is hard enough.
1263;
1264;Same as above.
1265;Because true or not, in my mind I would be taking myself out of the running for the position.
1266;I wouldn't unless it was an obvious issue. 
1267;denial of job
1268;I don't feel like it's relevant to getting hired
1269;I feel it could have a bearing on if I got an offer of employment even though it is illegal to discriminate based on mental health issues. 
1270;Definitely not, because I wouldn't want them to discount my ability to do the job well and mental health has much more stigma around it than a physical problem.
1271;
1272;I don't see it as being relevent
1273;"Telling  someone that's interviewing me that I have clinical depression, generalized anxiety disorder, PTSD, autism spectrum disorder, and ADD would bring a lot of stigma. I doubt they'd think I could handle the job, or they'd think I couldn't work well on a team. 

The trust hasn't been built yet. Maybe if the company was really upfront about caring about mental illness, and had people in leadership with mental illnesses, then I'd probably feel comfortable speaking about them during the interview."
1274;Same reason
1275;I would consider it something private that I would manage privately.
1276;It's unlikely to be any of the prospective employer's business or to affect my performance as an employee.
1277;So while this could definitely directly impact my ability to do the job, I would be really afraid to mention it to interviewers. I'm sure there are situations where i might mention it, but in the abstract, I wouldn't bring it up (my mental image of interviewers is kinda veering toward matrix looking fellas in suits)
1278;
1279;
1280;Based on my current employer. They would just see as a reason to take leave or that they cannot push you to the limits it companies like to do for little thanks.
1281;I would only do this if necessary, if it was an obvious mental health issue, if I appeared normal I would not bring it up.
1282;
1283;Fear of failing the interview
1284;If they don't have to know, there's no possible way it can impact their hiring decision
1285;Because it may have some significant impact on my performance if I am not accomodated accordingly.
1286;
1287;
1288;I believe it would impact me negatively
1289;Same as the physical. If it would impact my performance, it's only fair to be honest about it.
1290;I would be concerned that it would affect my chance of getting the job.
1291;Would expect not to be hired if honest about mental health issues
1292;Fear of not making it through interview process due to stigma.
1293;I've been on Disability (SSDI) for Bipolar for 6 years now and if I'm ever able to interview again, I'll need to honestly explain the chasm in my resume. I'd also need to seek employment where my disorder can be understood and accepted at the outset.
1294;That is not something I would be open about unless I felt it was safe to do so, and I could not determine that during the short amount of time of an interview.
1295;
1296;Personal issue
1297;see above
1298;Same reason.
1299;Because they need to know in order to provide me with what I need and to better understand my behaviour 
1300;Same as physical
1302;Stigma
1303;The goal is to get hired, not tossed in the bin.
1304;Shows weakness and changes social situation. Interview fails. 
1305;Set expectations appropriately.
1306;I would be worried that the employer would consider the problem a liability
1307;
1308;
1309;Theoretical, since I'm currently fortunate enough to not suffer a mental illness: If the question comes up or I am aware that this would severely deteriorate the future work atmosphere if people don't know in advance.
1310;stigma
1311;Many people still disbelieve that adult ADHD is a thing — if I suspected a  potential employer had problems I might try to suss them out before taking a job.
1312;It is illegal to not hire someone for having a mental disorder, but it is perfectly legal, from what I understand,  to not hire them for indirect effects of their disorder. I would not have gotten my current job if I briught up my mental illnesses. 
1313;It's instantly seen as a weakness, and then also an issue with your own mental state to discuss that weakness.
1314;Without knowing the employer's stance in mental health issues I would be reluctant to do anything that might jeopardize the interview. 
1315;Stigma
1316;I would be afraid they would let me go if they found out about any mental health issues I would have.
1317;I don't know how a potential employer would react, and whether they would feel accommodating a mental health issue would be considered too difficult
1318;Maybe, it's the stigma
1319;If it applied I would consider it
1320;Fear of negative bias *and* no benefit in bringing it up 
1321;
1322;It wouldn't be worth it in case it somehow did impact the hiring process. Again, it's something I'd rather bring up later or not at all.
1323;
1324;
1325;I would first observe and ask questions to get a feel for how open and accepting the company is. 
1326; I don't want to poison the well... people are prejudiced and in denial about their own issues and vulnerabilities I find...I wish I felt differently...
1327;no way.  would never get the job
1328;
1329;
1330;Stigma.
1331;Some people dont take mental health serious and might think I am incapable of doing the job.
1332;Stigma.
1333;Because they probably wouldn't hire me.
1334;I might be reluctant in an interview as there is still a bit of a stigma...
1335;Cos I would really want the job they might get employ someone with mental health issues
1336;
1337;Again relevancy - would it impact my work
1338;It may inhibit my chances of getting the position.
1339;allowing the interviewer full disclosure to make an informed decision
1340;I'd make me look weaker and less apt.
1341;I would fear that I wouldn't get the job because people would see it as a burden that could lead to problems with my employment.
1342;
1343;I wouldn't want to attach a negative stigma to myself
1344;because i'd be scared they dismiss me politely 
1345;It's important for the employer to know about my needs so they can accommodate them.
1346;If it has an effect on my ability to do work, then yes. Otherwise, it's not their business
1347;It might affect my relationship with my co-workers
1348;See above
1349;I think it would put me at risk of not getting the job.
1350;"It might reflect poorly on me as a candidate; all else being equal, it seems that an employer would want to hire a worker with no chronic mental health problems than one with chronic mental health problems."
1351;Bias/stigma
1352;Same Answer, an employer deserves to know your limitations.
1353;Employers don't offer jobs to people with mental health issues due to stigma
1354;For fear of losing the job.
1355;Fear of negative impact on prospects of employment.
1356;
1357;
1358;Some employers may be open to it, others are not.
1359;It may affect how I work but the employer may not take it seriously depending on the illness
1360;Risk of a negative reaction
1361;
1362;Risk of discrimination
1363;There is a stigma surrounding mental health that you are unstable as an employee if you have mental health issues.
1364;I lost a job because of my mental health issues, it would look bad.
1365;"I feel that mental health issues are still viewed as ""taboo"" and most employers / interviews may not be able to respond to these issues. Talking about it will simply make the interview awkward - and negatively affect my chance to get the job."
1366;This would never help me get a job, and it could only be used against me negatively.
1367;If the employer had a clear, positive stance on the issue, it would be reasonable to talk about. Otherwise it may be perceived negatively because of its intangible, invisible nature. 
1368;Same reason as for physical health issue above.
1369;Same as the above for the physical
1370;
1371;I would be afraid that the entire interview would become a discussion of the issue, and the decision process would be based off whether or not the issue is serious enough to take a chance on.
1372;I wouldn't want them to think less of me.
1373;the stigma of mental illness and how i fear it would impact the job.
1374;Because of stigma.
1375;I feel that it would indefinitely compromise my chance of being hired
1376;There's a definite stigma around mental health issues. It seems like one would be disqualified immediately.
1377;I feel that people are mostly scared about mental disease. I'll be afraid to be classified as crazy and not taken seriously. I would not take that risk.
1378;Same reasons, I'll cost more, be less productive
1379;I don't want it held against me
1380;Worried about not getting a job
1381;Employers are less aware of the legal protections afforded to candidates with mental health issues. I would also fear unstated bias influencing the interview result much more so than I would for a physical issue.
1382;Stigma
1383;If its relevant.
1384;Same as before
1385;Stigma
1386;I'd be worried that I wouldn't get the job.
1387;It would depend on whether the issue could require accommodations.
1388;It creates an expectation of trouble, is difficult to prove and thus has a stigma.
1389;See answer to question b
1390;A general lack of understanding or sufficient social norms to appropriately respond to such issues.
1391;"massive stigmatization in the ""cult of smart"""
1392;I feel there is still pervasive stigma around mental health issues which could be used against me.
1393;Again, if it happens in context, maybe. But, again. In the case of something that's supposed to me trying to look my best, talking about a flaw seems unnecessary.
1394;It would harm my career
1395;"hard to imagine it ever going well. all but the most progressive people see mental health issues as less ""real"". better to frame needs (like sleep, nutrition, doctors appointments) as required to protect physical health in some vague way"
1396;
1397;I already had to do this for my current job. I almost didn't get the job. They made me an offer, I told them it would be difficult for me to travel and a few other things, and they almost revoked the offer. The only reason that they didn't revoke it was because I made it clear that there was a mental health issue (so I'm certain they felt legally compelled) which made me extremely uncomfortable and ashamed that they made me do that. I'm still mad about it even though I kind of get it from their standpoint. They even made me turn in a doctor's note that they're keeping on file. It's none of their business and barely impacts my job, but they made a huge deal out of it.
1398;Just seems really personal and I would worry about that affecting the out come. Not everyone is aware of how that issue would affect someone's work. Or how it could. Not every company has good policies around keeping up to date on how an employee is doing. 
1399;
1400;Same reasons as above, but amplified.
1401;
1402;I'd explain too explicit which would deem me unproductive in their eyes. It would be better to choose a more stabe individual. 
1403;
1404;Stigma. Fear. Typical reasons mental health isn't discussed or divulged. I'd rather not have someone's opinion of me shaped by a disease.
1405;I'd be afraid that it would affect the outcome
1406;I wouldn't get the job
1407;I fear it would have negative consequences. 
1408;Weakens my negotiation position.
1409;Same reason as above.
1410;"Risk of being discarded at a job interview.
Risk of being neglected for a promotion.
Risk of being fired."
1411;It might be considered a sign of being incompetent or incapable of handling the job
1412;risk of job security
1413;I would not bring up a mental health issue in an interview because I would not want it to negatively affect the hiring decision. It is something that I am open about with employers, especially when I need care or personal days, but not something I would bring attention to during an interview.
1414;Stigma
1415;I would worry that they would not want to hire me because of it. 
1416;
1417;Might reduce my chances of getting hired, even though I don't expect them to ever officially name it as a reason for my application being turned down.
1418;I might bring it up because I value honesty and wouldn't want to be employed under false pretences . However I think that a mental health issue would seriously jeapordise my chances of employment in the tech industry.
1419;Depends on the health issue. A mental health issue may prevent a clearance from being issued. It is a risky option to hire someone then have to let them go if they can't get a security clearance.
1420;Fear
1421;duh...
1422;Mental health too stigmatized, don't know the prospective employer well enough to determine whether it would be negative (and it usually is) 
1423;I don't think it's very transparent to many employers how mental health issues might affect a person's workplace efficacy, and I wouldn't want to lose a potential position because of that thought (whether or not the interviewer made that decision consciously or not).
1424;"Again, only if they asked me directly would I discuss my anxiety. 
I wouldn't want them to think that I would be worse at the job than someone else because of it"
1425;Stigma.
1426;
1427;I would be certain it would reflect poorly on me.
1428;As previously stated, my health information is personal 
1429;E
1430;Fear that the employer would consider additional health insurance expense and would doubt my ability to execute my work.
1431;Feels like I'm making a mountain out of a molehill
1432;
