,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,Which of the following best describes your work position?,Do you work remotely?
745,0,More than 1000,1.0,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,1,"Yes, they all did",I was aware of some,Some did,"Yes, they all did","Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,No,Yes,Yes,No,No,1,Never,Sometimes,33.0,male,Back-end Developer,Sometimes
746,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Maybe,Yes,Yes,1,Rarely,Often,45.0,male,Designer,Never
747,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",None did,None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,I don't know,Maybe,Maybe,No,0,Sometimes,Sometimes,35.0,male,Front-end Developer,Always
748,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,Maybe,Yes,1,Often,Sometimes,32.0,male,Back-end Developer,Always
749,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,No,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",I don't know,Maybe,No,No,0,Not applicable to me,Not applicable to me,44.0,male,One-person shop,Always
750,0,More than 1000,0.0,No,unknown,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,Yes,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",No,No,"Yes, it has","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Often,Often,28.0,non-binary,Support,Never
751,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,I was aware of some,None did,None did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Maybe,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",No,Maybe,Maybe,No,1,Not applicable to me,Not applicable to me,39.0,male,DevOps/SysAdmin,Sometimes
752,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,I was aware of some,None did,None did,Sometimes,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,Yes,Maybe,No,1,Rarely,Often,55.0,female,One-person shop,Sometimes
753,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Maybe,Yes,Yes,1,Sometimes,Often,33.0,female,Supervisor/Team Lead,Sometimes
754,0,6-25,1.0,No,No,No,No,No,Very easy,No,No,Yes,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,"Yes, they all did",None of them,No,Yes,Maybe,"No, I don't think they would",Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,19.0,male,Front-end Developer,Always
755,0,More than 1000,1.0,Yes,No,No,No,Yes,Somewhat easy,Maybe,No,No,No,No,Yes,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Maybe,Maybe,No,0,Rarely,Often,40.0,male,Other,Always
756,0,More than 1000,0.0,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Maybe,Yes,I don't know,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Yes,Maybe,No,Yes,1,Never,Sometimes,49.0,female,Supervisor/Team Lead,Sometimes
757,0,6-25,1.0,Not eligible for coverage / N/A,unknown,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,27.0,female,Front-end Developer,Sometimes
758,0,More than 1000,0.0,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,No,No,No,No,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,"Yes, all of them",None of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,No,"Yes, it has","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,39.0,male,Designer,Never
759,0,More than 1000,0.0,I don't know,I am not sure,Yes,Yes,Yes,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,I don't know,None of them,Yes,Yes,"No, I don't think it would","No, they do not",Very open,Maybe/Not sure,No,Yes,Yes,Yes,1,Never,Sometimes,35.0,male,Support,Never
760,0,26-100,1.0,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,unknown,I don't know,Maybe,Maybe,No,0,Rarely,Sometimes,35.0,male,Supervisor/Team Lead,Sometimes
761,0,26-100,1.0,Yes,I am not sure,No,No,I don't know,Very difficult,Maybe,Maybe,Maybe,No,No,No,1,Some did,I was aware of some,None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,No,"Yes, it has","Yes, I think they would",Somewhat open,"Yes, I observed",I don't know,Yes,Yes,Yes,1,Rarely,Often,42.0,female,Designer,Sometimes
762,0,6-25,1.0,Yes,Yes,Yes,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Yes,Yes,"No, I don't think it would",Maybe,Somewhat open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,35.0,male,One-person shop,Sometimes
763,0,100-500,1.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Maybe,Yes,Yes,No,1,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",I don't know,Yes,No,Yes,1,Sometimes,Often,31.0,female,Support,Sometimes
764,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,44.0,male,Front-end Developer,Always
765,0,100-500,1.0,Yes,Yes,No,No,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,1,"Yes, they all did","No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat not open,No,I don't know,Maybe,Maybe,No,1,Sometimes,Sometimes,39.0,male,Supervisor/Team Lead,Sometimes
766,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,32.0,male,DevOps/SysAdmin,Always
767,0,More than 1000,1.0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,No,Maybe,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,Some did,Some of them,Yes,Maybe,Maybe,Maybe,Very open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,45.0,male,Supervisor/Team Lead,Sometimes
768,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,N/A (not currently aware),None did,Some did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No,No,No,No,1,Not applicable to me,Not applicable to me,31.0,male,Designer,Sometimes
769,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"Yes, they all did",I was aware of some,None did,None did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,47.0,female,One-person shop,Sometimes
770,0,26-100,1.0,No,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,No,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Maybe,Maybe,Somewhat not open,No,Yes,Maybe,No,No,1,Not applicable to me,Not applicable to me,29.0,male,Back-end Developer,Sometimes
771,0,6-25,1.0,Yes,No,No,No,I don't know,I don't know,No,No,Yes,Yes,Yes,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Yes,Yes,No,Yes,1,Never,Often,20.0,male,Back-end Developer,Always
772,0,100-500,1.0,Not eligible for coverage / N/A,unknown,No,I don't know,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,I don't know,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,34.0,male,Other,Never
773,0,500-1000,1.0,Not eligible for coverage / N/A,unknown,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,"No, I don't think it would","No, I don't think they would",Very open,No,No,Yes,Yes,Yes,1,Rarely,Often,33.0,non-binary,Dev Evangelist/Advocate,Never
774,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"Yes, they all did",I was aware of some,None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,Some did,Some of them,No,No,Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Maybe,Maybe,No,1,Sometimes,Often,33.0,female,One-person shop,Always
775,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them","Yes, at all of my previous employers","Yes, at all of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,unknown,Yes,Yes,Yes,No,0,Rarely,Not applicable to me,35.0,male,One-person shop,Sometimes
776,0,100-500,1.0,Yes,Yes,No,I don't know,I don't know,I don't know,Yes,No,No,No,I don't know,No,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Sometimes,Often,31.0,male,DevOps/SysAdmin,Sometimes
777,0,More than 1000,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Yes,Yes,I don't know,Yes,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"No, it has not","No, they do not",Very open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,Often,36.0,male,Executive Leadership,Sometimes
778,0,100-500,1.0,Yes,Yes,No,Yes,No,Somewhat easy,Maybe,Maybe,No,No,I don't know,Yes,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,"Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,Yes,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,No,Yes,No,0,Not applicable to me,Not applicable to me,30.0,male,Support,Always
779,0,More than 1000,0.0,Yes,I am not sure,No,I don't know,Yes,Neither easy nor difficult,Maybe,No,Maybe,No,No,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,44.0,female,Support,Never
780,0,1-5,1.0,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe,Maybe,No,Yes,No,1,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat not open,No,I don't know,Yes,Yes,Yes,1,Rarely,Often,23.0,female,Front-end Developer,Sometimes
781,0,More than 1000,0.0,Yes,No,No,Yes,I don't know,I don't know,Maybe,No,No,No,No,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,46.0,male,Support,Never
782,0,100-500,1.0,Yes,Yes,No,No,I don't know,Very easy,No,No,Yes,Yes,No,Yes,1,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, they all did",Sometimes,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Never,Sometimes,33.0,female,Front-end Developer,Always
783,0,500-1000,0.0,Yes,Yes,No,No,Yes,Somewhat easy,Yes,Maybe,Maybe,No,No,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,32.0,female,Other,Never
784,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",No,Yes,Maybe,Yes,1,Sometimes,Sometimes,45.0,male,DevOps/SysAdmin,Sometimes
785,0,6-25,1.0,No,No,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,I don't know,Yes,Yes,No,1,Never,Often,26.0,male,Back-end Developer,Sometimes
786,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Maybe,No,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,32.0,female,DevOps/SysAdmin,Always
787,0,More than 1000,1.0,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No,Maybe,No,I don't know,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Maybe,"No, I don't think they would",Not open at all,No,No,No,No,No,0,Not applicable to me,Not applicable to me,28.0,male,Back-end Developer,Sometimes
788,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,"Yes, at all of my previous employers",None did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No,Yes,No,No,0,Not applicable to me,Not applicable to me,44.0,male,One-person shop,Sometimes
789,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,"Yes, it has","No, I don't think they would",Very open,Maybe/Not sure,Yes,Maybe,Maybe,No,0,Not applicable to me,Often,42.0,male,One-person shop,Always
790,0,More than 1000,1.0,Yes,No,I don't know,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Very open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30.0,male,Back-end Developer,Sometimes
791,0,6-25,1.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,No,No,Yes,No,1,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",Yes,Maybe,Maybe,Yes,1,Not applicable to me,Often,28.0,female,Front-end Developer,Sometimes
792,0,100-500,1.0,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Maybe,"No, it has not","No, they do not",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,31.0,male,Supervisor/Team Lead,Always
793,0,100-500,1.0,Yes,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,No,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,Maybe,No,Maybe,Maybe,Not open at all,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,29.0,male,Back-end Developer,Sometimes
794,0,26-100,1.0,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,No,No,No,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Maybe,"Yes, I think they would",Not open at all,Maybe/Not sure,No,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,33.0,male,Back-end Developer,Sometimes
795,0,More than 1000,1.0,Yes,Yes,I don't know,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,Yes,No,1,Some did,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,No,No,"Yes, I think it would",Maybe,Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,Sometimes,43.0,female,Executive Leadership,Always
796,0,100-500,1.0,I don't know,I am not sure,Yes,Yes,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,No,No,Maybe,No,0,Never,Sometimes,28.0,male,Dev Evangelist/Advocate,Always
798,0,100-500,1.0,Yes,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,I don't know,Yes,1,Some did,I was aware of some,None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,Yes,No,Maybe,Maybe,Very open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Often,38.0,male,Dev Evangelist/Advocate,Always
799,0,6-25,0.0,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,No,Maybe,No,I don't know,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Yes,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,Yes,Maybe,Yes,1,Never,Sometimes,30.0,male,DevOps/SysAdmin,Sometimes
800,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,No,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Never,Often,51.0,female,One-person shop,Sometimes
801,0,26-100,1.0,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,No,No,No,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always","Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,48.0,female,Executive Leadership,Never
802,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,unknown,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,39.0,male,One-person shop,Always
803,0,6-25,1.0,No,No,No,No,I don't know,Neither easy nor difficult,Yes,Maybe,No,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them",Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,28.0,male,Designer,Sometimes
804,0,100-500,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,Yes,1,"Yes, they all did",I was aware of some,"Yes, they all did",Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,Yes,Yes,Maybe,Yes,1,Rarely,Often,37.0,male,Front-end Developer,Always
